Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
BRN,Brunei Darussalam,2000,55.51100159,2.346,Asia
BRN,Brunei Darussalam,2005,56.37599945,2.022,Asia
BRN,Brunei Darussalam,2010,56.39099884,1.937,Asia
BRN,Brunei Darussalam,2015,56.27000046,1.947,Asia
BRN,Brunei Darussalam,2020,54.35699844,1.796,Asia
BTN,Bhutan,1990,58.69100189,5.493,Asia
BTN,Bhutan,1995,58.19800186,4.5,Asia
BTN,Bhutan,2000,60.9109993,3.515,Asia
BTN,Bhutan,2005,64.55699921,2.788,Asia
BTN,Bhutan,2010,63.41500092,2.301,Asia
BTN,Bhutan,2015,55.10599899,2.037,Asia
BTN,Bhutan,2020,50.90200043,1.931,Asia
BWA,Botswana,1990,46.18899918,4.485,Africa
BWA,Botswana,1995,46.83000183,3.774,Africa
BWA,Botswana,2000,48.4620018,3.304,Africa
BWA,Botswana,2005,51.74100113,3.091,Africa
BWA,Botswana,2010,52.68500137,3.022,Africa
BWA,Botswana,2015,54.86700058,2.968,Africa
BWA,Botswana,2020,56.42300034,2.796,Africa
CAF,Central African Republic,1990,64.05200195,5.811,Africa
CAF,Central African Republic,1995,64.12799835,5.618,Africa
CAF,Central African Republic,2000,64.17199707,5.5,Africa
CAF,Central African Republic,2005,64.08399963,5.383,Africa
CAF,Central African Republic,2010,63.92399979,5.215,Africa
CAF,Central African Republic,2015,63.6269989,4.941,Africa
CAF,Central African Republic,2020,62.91600037,4.568,Africa
CAN,Canada,1990,58.49200058,1.83,North America
CAN,Canada,1995,57.47200012,1.67,North America
CAN,Canada,2000,59.39699936,1.51,North America
CAN,Canada,2005,61.65800095,1.57,North America
CAN,Canada,2010,62.40200043,1.64,North America
CAN,Canada,2015,61.21900177,1.6,North America
CAN,Canada,2020,59.51499939,1.4,North America
CHE,Switzerland,1990,56.98099899,1.58,Europe
CHE,Switzerland,1995,55.85300064,1.48,Europe
CHE,Switzerland,2000,57.63700104,1.5,Europe
CHE,Switzerland,2005,59.34000015,1.42,Europe
CHE,Switzerland,2010,59.98600006,1.52,Europe
CHE,Switzerland,2015,62.27899933,1.54,Europe
