p25,p_median,item_id,itemName,dateStata
6.43,7.69,211501,"CHEDDAR-HOME PRODUCED PER KG",01-09-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-09-2022
1.2,2.5,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-09-2022
3.5,4.3,211408,"OLIVE OIL - 500ML - 1 LITRE",01-09-2022
8,10,211511,"SOFT CONTINENTAL CHEESE - KG",01-09-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-09-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-09-2022
1.55,2,211409,"Peanut Butter 225-350g",01-09-2022
.9,.9,212402,"POTATO CRISPS 25G-50G",01-09-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-09-2022
1.35,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-09-2022
1.05,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-09-2022
1.2,1.25,210111,"WHITE SLICED LOAF BRANDED 750G",01-09-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-09-2022
3,4.25,212939,"CHILLED PIZZA EACH 300-600G",01-09-2022
16.72,20,211510,"Parmesan Cheese per kg'",01-09-2022
.25,.37,212021,"Bottle still water",01-09-2022
1.29,2.05,220117,"BOTTLED MINERAL WATER",01-09-2022
.5,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-09-2022
1.55,1.85,210212,"Basmati Rice 500g-1KG",01-09-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-09-2022
1.5,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-09-2022
.4,1.2,212603,"Baked Beans 400g",01-09-2022
2.1,2.25,211306,"250g Butter'",01-09-2022
1.75,2.05,211407,"Margarine 500g",01-09-2022
1.15,1.15,211710,"Semi-skimmed Milk 2 pints'",01-09-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-09-2022
.6,.725,211814,"YOGHURT-SMALL INDIVIDUAL",01-09-2022
.55,1.4,212910,"Canned Soup 400g",01-09-2022
1.45,1.45,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-09-2022
2,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-09-2022
.85,1,210204,"Dry Spaghetti/Pasta 500g",01-09-2022
.45,.5,212601,"Canned Tomatoes 400g",01-09-2022
1.2,1.225,210102,"Large White Loaf Unsliced 800g",01-09-2022
2.4,2.6,210213,"Breakfast Cereal",01-09-2022
1.9,2.9,212405,"FROZEN CHIPS 900G-1.5KG'",01-09-2022
1,1.49,520209,"TOOTHPASTE",01-09-2022
2,3.5,212933,"ICE CREAM 450ML-1L",01-09-2022
2.4,3,210213,"Breakfast Cereal",01-10-2022
1.1,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-10-2022
2.25,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-10-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-10-2022
.45,.55,212601,"Canned Tomatoes 400g",01-10-2022
9.5,10.2,211511,"SOFT CONTINENTAL CHEESE - KG",01-10-2022
1.575,2,211409,"Peanut Butter 225-350g",01-10-2022
.2,.5,212021,"Bottle still water",01-10-2022
1.2,1.25,210111,"WHITE SLICED LOAF BRANDED 750G",01-10-2022
.6,.8,211814,"YOGHURT-SMALL INDIVIDUAL",01-10-2022
1,1.47,520209,"TOOTHPASTE",01-10-2022
2,2.3,211306,"250g Butter'",01-10-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-10-2022
1.55,1.55,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-10-2022
7.13,7.86,211501,"CHEDDAR-HOME PRODUCED PER KG",01-10-2022
.9,.9,212402,"POTATO CRISPS 25G-50G",01-10-2022
3.25,3.65,212939,"CHILLED PIZZA EACH 300-600G",01-10-2022
.4,1.2,212603,"Baked Beans 400g",01-10-2022
1.75,2.25,211407,"Margarine 500g",01-10-2022
1.9,2.5,212405,"FROZEN CHIPS 900G-1.5KG'",01-10-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-10-2022
1.35,1.75,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-10-2022
1.59,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-10-2022
.79,1.05,211207,"CANNED FISH, TUNA, 130G-200G",01-10-2022
1.1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-10-2022
2,3,212933,"ICE CREAM 450ML-1L",01-10-2022
.89,.9,210204,"Dry Spaghetti/Pasta 500g",01-10-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-10-2022
.55,1.4,212910,"Canned Soup 400g",01-10-2022
17.11,20.92,211510,"Parmesan Cheese per kg'",01-10-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-10-2022
1.29,2,220117,"BOTTLED MINERAL WATER",01-10-2022
.55,.6,212008,"LEMONADE-2 LITRE BOTTLE",01-10-2022
1.2,2.25,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-10-2022
1.42,1.77,212918,"FRZN READY-COOKD MEAL SERVES 1",01-10-2022
1.25,1.25,211710,"Semi-skimmed Milk 2 pints'",01-10-2022
1.59,1.995,210212,"Basmati Rice 500g-1KG",01-10-2022
1.2,1.25,210102,"Large White Loaf Unsliced 800g",01-10-2022
3.59,4.5,211408,"OLIVE OIL - 500ML - 1 LITRE",01-10-2022
3.5,4.25,211408,"OLIVE OIL - 500ML - 1 LITRE",01-11-2022
1,1.49,520209,"TOOTHPASTE",01-11-2022
1.35,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-11-2022
1.95,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-11-2022
.19,.6,212021,"Bottle still water",01-11-2022
1.65,2,211409,"Peanut Butter 225-350g",01-11-2022
.79,1.05,211207,"CANNED FISH, TUNA, 130G-200G",01-11-2022
2,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-11-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-11-2022
7.5,8,211501,"CHEDDAR-HOME PRODUCED PER KG",01-11-2022
.65,.8,211814,"YOGHURT-SMALL INDIVIDUAL",01-11-2022
.95,.975,210204,"Dry Spaghetti/Pasta 500g",01-11-2022
1.25,1.25,211710,"Semi-skimmed Milk 2 pints'",01-11-2022
1.15,2.275,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-11-2022
.5,1.2,212603,"Baked Beans 400g",01-11-2022
.55,.625,212008,"LEMONADE-2 LITRE BOTTLE",01-11-2022
1,1.45,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-11-2022
2.25,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-11-2022
2.4,3,210213,"Breakfast Cereal",01-11-2022
.45,.55,212601,"Canned Tomatoes 400g",01-11-2022
1.15,1.3,210111,"WHITE SLICED LOAF BRANDED 750G",01-11-2022
1.75,2.25,211407,"Margarine 500g",01-11-2022
1.59,2,210212,"Basmati Rice 500g-1KG",01-11-2022
2.125,2.3,211306,"250g Butter'",01-11-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-11-2022
1.2,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-11-2022
.9,.95,212402,"POTATO CRISPS 25G-50G",01-11-2022
1.2,1.3,210102,"Large White Loaf Unsliced 800g",01-11-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-11-2022
8.76,12.42,211511,"SOFT CONTINENTAL CHEESE - KG",01-11-2022
1.55,1.55,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-11-2022
1.35,2.1,220117,"BOTTLED MINERAL WATER",01-11-2022
17.45,20.59,211510,"Parmesan Cheese per kg'",01-11-2022
.65,1.4,212910,"Canned Soup 400g",01-11-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-11-2022
1.35,1.7,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-11-2022
3.5,3.95,212939,"CHILLED PIZZA EACH 300-600G",01-11-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-11-2022
2.09,2.75,212933,"ICE CREAM 450ML-1L",01-11-2022
