p25,p_median,item_id,itemName,dateStata
1.7,1.85,212933,"ICE CREAM 450ML-1L",01-05-2021
.25,.33,212021,"Bottle still water",01-05-2021
1.85,2.2,211603,"Large Eggs per dozen",01-05-2021
1.4,1.8,211409,"Peanut Butter 225-350g",01-05-2021
.3,.85,212603,"Baked Beans 400g",01-05-2021
1.5,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-05-2021
1,1.5,211407,"Margarine 500g",01-05-2021
1.6,1.8,211306,"250g Butter'",01-05-2021
.5,.95,212910,"Canned Soup 400g",01-05-2021
7.5,9.46,211511,"SOFT CONTINENTAL CHEESE - KG",01-05-2021
.7,.75,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-05-2021
.79,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-05-2021
15,17.65,211510,"Parmesan Cheese per kg'",01-05-2021
2.55,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-05-2021
.85,.9,212006,"FRUIT JUICE NOT ORANGE 1L",01-05-2021
2,2.89,210213,"Breakfast Cereal",01-05-2021
.95,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-05-2021
1.225,1.5,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-05-2021
1.25,1.6,210212,"Basmati Rice 500g-1KG",01-05-2021
2,2.65,213003,"COFFEE-INSTANT 90 -100G JAR",01-05-2021
1.19,1.55,220117,"BOTTLED MINERAL WATER",01-05-2021
1.1,1.1,210102,"Large White Loaf Unsliced 800g",01-05-2021
.4,.5,212601,"Canned Tomatoes 400g",01-05-2021
5,6.25,211501,"CHEDDAR-HOME PRODUCED PER KG",01-05-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-05-2021
.4,.65,212008,"LEMONADE-2 LITRE BOTTLE",01-05-2021
1,1.2,520209,"TOOTHPASTE",01-05-2021
1.09,1.09,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-05-2021
1.2,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-05-2021
.55,.68,211814,"YOGHURT-SMALL INDIVIDUAL",01-05-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-05-2021
.85,.95,211207,"CANNED FISH, TUNA, 130G-200G",01-05-2021
.53,.65,210204,"Dry Spaghetti/Pasta 500g",01-05-2021
.8,.8,211710,"Semi-skimmed Milk 2 pints'",01-05-2021
1.1,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-05-2021
2,3,212939,"CHILLED PIZZA EACH 300-600G",01-05-2021
1,1.79,212225,"CHOCOLATE LARGE BAR 100-200G",01-05-2021
1.19,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-05-2021
.7,.75,212608,"CANNED SWEETCORN 198-340G",01-05-2021
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-06-2021
1.2,1.6,212918,"FRZN READY-COOKD MEAL SERVES 1",01-06-2021
1.7,1.99,212933,"ICE CREAM 450ML-1L",01-06-2021
.24,.45,212021,"Bottle still water",01-06-2021
.8,1.1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-06-2021
.8,.9,212006,"FRUIT JUICE NOT ORANGE 1L",01-06-2021
1.5,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-06-2021
.8,.85,212402,"POTATO CRISPS 25G-50G",01-06-2021
1.1,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-06-2021
1,1.8,211407,"Margarine 500g",01-06-2021
1.35,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-06-2021
14.375,17.65,211510,"Parmesan Cheese per kg'",01-06-2021
.5,.6,211814,"YOGHURT-SMALL INDIVIDUAL",01-06-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-06-2021
5,5.71,211501,"CHEDDAR-HOME PRODUCED PER KG",01-06-2021
.7,.8,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-06-2021
.54,.65,210204,"Dry Spaghetti/Pasta 500g",01-06-2021
.8,.8,211710,"Semi-skimmed Milk 2 pints'",01-06-2021
1.19,1.7,220117,"BOTTLED MINERAL WATER",01-06-2021
1.1,1.5,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-06-2021
1.09,1.09,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-06-2021
.3,.85,212603,"Baked Beans 400g",01-06-2021
.4,.45,212601,"Canned Tomatoes 400g",01-06-2021
2.55,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-06-2021
2.1,2.65,213003,"COFFEE-INSTANT 90 -100G JAR",01-06-2021
1.1,1.15,210102,"Large White Loaf Unsliced 800g",01-06-2021
.35,.5,212008,"LEMONADE-2 LITRE BOTTLE",01-06-2021
.69,.75,212608,"CANNED SWEETCORN 198-340G",01-06-2021
1.98,2.2,211603,"Large Eggs per dozen",01-06-2021
1,1.2,520209,"TOOTHPASTE",01-06-2021
.79,.9,211207,"CANNED FISH, TUNA, 130G-200G",01-06-2021
.79,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-06-2021
.95,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-06-2021
.45,.95,212910,"Canned Soup 400g",01-06-2021
7.2,7.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-06-2021
1.4,2.29,211409,"Peanut Butter 225-350g",01-06-2021
2,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-06-2021
1.29,1.6,210212,"Basmati Rice 500g-1KG",01-06-2021
1.6,1.7,211306,"250g Butter'",01-06-2021
1.9,2.5,210213,"Breakfast Cereal",01-06-2021
1.25,1.85,211407,"Margarine 500g",01-07-2021
1.98,2.2,211603,"Large Eggs per dozen",01-07-2021
.8,.8,211710,"Semi-skimmed Milk 2 pints'",01-07-2021
.95,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-07-2021
1.15,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-07-2021
1.2,1.6,212918,"FRZN READY-COOKD MEAL SERVES 1",01-07-2021
1.49,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-07-2021
.55,.615,210204,"Dry Spaghetti/Pasta 500g",01-07-2021
1.6,1.7,211306,"250g Butter'",01-07-2021
.4,.65,212008,"LEMONADE-2 LITRE BOTTLE",01-07-2021
.7,.75,212608,"CANNED SWEETCORN 198-340G",01-07-2021
.79,.9,211207,"CANNED FISH, TUNA, 130G-200G",01-07-2021
.4,.45,212601,"Canned Tomatoes 400g",01-07-2021
1.7,2,212933,"ICE CREAM 450ML-1L",01-07-2021
15.5,17.575,211510,"Parmesan Cheese per kg'",01-07-2021
2.94,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-07-2021
1.29,1.6,210212,"Basmati Rice 500g-1KG",01-07-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-07-2021
1,1.5,212225,"CHOCOLATE LARGE BAR 100-200G",01-07-2021
1.9,2.89,210213,"Breakfast Cereal",01-07-2021
.45,.95,212910,"Canned Soup 400g",01-07-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-07-2021
.7,.8,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-07-2021
2,2.65,213003,"COFFEE-INSTANT 90 -100G JAR",01-07-2021
.5,.65,211814,"YOGHURT-SMALL INDIVIDUAL",01-07-2021
.3,.85,212603,"Baked Beans 400g",01-07-2021
1.5,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-07-2021
.25,.5,212021,"Bottle still water",01-07-2021
6,7.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-07-2021
1.09,1.095,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-07-2021
.845,1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-07-2021
.85,.9,212006,"FRUIT JUICE NOT ORANGE 1L",01-07-2021
1.1,1.15,210102,"Large White Loaf Unsliced 800g",01-07-2021
1.2,1.5,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-07-2021
2.72,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-07-2021
1.19,1.95,220117,"BOTTLED MINERAL WATER",01-07-2021
1.4,2.29,211409,"Peanut Butter 225-350g",01-07-2021
5,5.71,211501,"CHEDDAR-HOME PRODUCED PER KG",01-07-2021
.95,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-07-2021
1,1.2,520209,"TOOTHPASTE",01-07-2021
.7,.8,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-08-2021
1.2,1.69,212918,"FRZN READY-COOKD MEAL SERVES 1",01-08-2021
.87,.95,212006,"FRUIT JUICE NOT ORANGE 1L",01-08-2021
2,3.37,212939,"CHILLED PIZZA EACH 300-600G",01-08-2021
.95,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-08-2021
15.5,17.5,211510,"Parmesan Cheese per kg'",01-08-2021
.25,.6,212021,"Bottle still water",01-08-2021
1,1.25,520209,"TOOTHPASTE",01-08-2021
.45,.95,212910,"Canned Soup 400g",01-08-2021
.4,.65,212008,"LEMONADE-2 LITRE BOTTLE",01-08-2021
.79,.9,211207,"CANNED FISH, TUNA, 130G-200G",01-08-2021
.8,.85,211710,"Semi-skimmed Milk 2 pints'",01-08-2021
1.29,1.7,210212,"Basmati Rice 500g-1KG",01-08-2021
1.25,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-08-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-08-2021
1.19,1.95,220117,"BOTTLED MINERAL WATER",01-08-2021
1.15,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-08-2021
.55,.6,210204,"Dry Spaghetti/Pasta 500g",01-08-2021
.49,.6,211814,"YOGHURT-SMALL INDIVIDUAL",01-08-2021
2.55,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-08-2021
2,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-08-2021
1.1,1.15,210102,"Large White Loaf Unsliced 800g",01-08-2021
.9,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-08-2021
1,1.5,212225,"CHOCOLATE LARGE BAR 100-200G",01-08-2021
1.98,2.25,211603,"Large Eggs per dozen",01-08-2021
1.2,1.4,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-08-2021
1.5,2.25,212405,"FROZEN CHIPS 900G-1.5KG'",01-08-2021
1.19,1.85,211407,"Margarine 500g",01-08-2021
5,5.71,211501,"CHEDDAR-HOME PRODUCED PER KG",01-08-2021
.7,.8,212608,"CANNED SWEETCORN 198-340G",01-08-2021
7.5,8.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-08-2021
.4,.45,212601,"Canned Tomatoes 400g",01-08-2021
2,2.75,210213,"Breakfast Cereal",01-08-2021
1.6,1.75,211306,"250g Butter'",01-08-2021
1.09,1.15,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-08-2021
1.75,2,212933,"ICE CREAM 450ML-1L",01-08-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-08-2021
.8,1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-08-2021
.3,.85,212603,"Baked Beans 400g",01-08-2021
1.4,2,211409,"Peanut Butter 225-350g",01-08-2021
1.09,1.85,211407,"Margarine 500g",01-09-2021
1,1.5,212225,"CHOCOLATE LARGE BAR 100-200G",01-09-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-09-2021
.95,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-09-2021
1.98,2.2,211603,"Large Eggs per dozen",01-09-2021
15.5,17.65,211510,"Parmesan Cheese per kg'",01-09-2021
1.1,1.15,210102,"Large White Loaf Unsliced 800g",01-09-2021
.39,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-09-2021
.9,1,212006,"FRUIT JUICE NOT ORANGE 1L",01-09-2021
1.1,1.5,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-09-2021
1.09,1.15,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-09-2021
1.25,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-09-2021
1.75,2.05,212933,"ICE CREAM 450ML-1L",01-09-2021
1.15,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-09-2021
.45,.995,212910,"Canned Soup 400g",01-09-2021
.4,.45,212601,"Canned Tomatoes 400g",01-09-2021
.89,1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-09-2021
5,5.63,211501,"CHEDDAR-HOME PRODUCED PER KG",01-09-2021
1.6,1.75,211306,"250g Butter'",01-09-2021
2.75,3.25,211408,"OLIVE OIL - 500ML - 1 LITRE",01-09-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-09-2021
2.745,3.49,212939,"CHILLED PIZZA EACH 300-600G",01-09-2021
.7,.85,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-09-2021
1.4,2.05,211409,"Peanut Butter 225-350g",01-09-2021
7.5,9.2,211511,"SOFT CONTINENTAL CHEESE - KG",01-09-2021
1.4,1.95,220117,"BOTTLED MINERAL WATER",01-09-2021
.8,.85,211710,"Semi-skimmed Milk 2 pints'",01-09-2021
.25,.47,212021,"Bottle still water",01-09-2021
.9,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-09-2021
2,2.75,213003,"COFFEE-INSTANT 90 -100G JAR",01-09-2021
.3,.85,212603,"Baked Beans 400g",01-09-2021
1.58,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-09-2021
.65,.75,212608,"CANNED SWEETCORN 198-340G",01-09-2021
.49,.65,211814,"YOGHURT-SMALL INDIVIDUAL",01-09-2021
2,2.625,210213,"Breakfast Cereal",01-09-2021
1,1.2,520209,"TOOTHPASTE",01-09-2021
.79,.9,211207,"CANNED FISH, TUNA, 130G-200G",01-09-2021
1.225,1.6,212918,"FRZN READY-COOKD MEAL SERVES 1",01-09-2021
1.29,1.6,210212,"Basmati Rice 500g-1KG",01-09-2021
.55,.6,210204,"Dry Spaghetti/Pasta 500g",01-09-2021
2.5,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-10-2021
.25,.45,212021,"Bottle still water",01-10-2021
1.15,1.15,210102,"Large White Loaf Unsliced 800g",01-10-2021
1.25,1.95,220117,"BOTTLED MINERAL WATER",01-10-2021
1,1.45,212225,"CHOCOLATE LARGE BAR 100-200G",01-10-2021
.79,.9,211207,"CANNED FISH, TUNA, 130G-200G",01-10-2021
7.06,8.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-10-2021
.4,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-10-2021
2,2.5,210213,"Breakfast Cereal",01-10-2021
1.99,2.2,211603,"Large Eggs per dozen",01-10-2021
1.1,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-10-2021
1.15,2.06,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-10-2021
1.59,1.7,211306,"250g Butter'",01-10-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-10-2021
.65,.75,212608,"CANNED SWEETCORN 198-340G",01-10-2021
1.75,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-10-2021
1.49,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-10-2021
1,1.225,520209,"TOOTHPASTE",01-10-2021
.4,.45,212601,"Canned Tomatoes 400g",01-10-2021
.45,1,212910,"Canned Soup 400g",01-10-2021
2.75,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-10-2021
1.7,2,212933,"ICE CREAM 450ML-1L",01-10-2021
15.5,17.65,211510,"Parmesan Cheese per kg'",01-10-2021
1.29,1.65,210212,"Basmati Rice 500g-1KG",01-10-2021
.55,.64,210204,"Dry Spaghetti/Pasta 500g",01-10-2021
